2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (316, 839) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (320, 844) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (320, 844) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 850) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 850) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 899) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 948) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 997) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1046) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1095) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1144) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1193) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1242) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1291) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1340) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1389) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (371, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (420, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (469, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (518, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (567, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (616, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (665, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (714, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (763, 1438) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (812, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (861, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (910, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (959, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1008, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1057, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1106, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1155, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1438) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1389) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1340) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1291) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1242) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1193) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1144) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1095) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1046) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 997) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 948) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 899) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 850) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 801) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 752) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 703) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 654) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 605) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 556) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 507) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 458) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 409) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 360) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 311) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 262) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 213) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 164) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 115) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 66) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 17) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 12) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 12) for path existence...
2020-06-28 01:14:12 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1149, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1100, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1051, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1002, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (953, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (904, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (855, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (806, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (757, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (708, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (659, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (610, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (561, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (512, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (463, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (414, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (365, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 12) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 61) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 110) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 159) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 208) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 257) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 306) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 355) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 404) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 453) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 502) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 551) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 600) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 649) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 698) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 747) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 751) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 702) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 653) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 604) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 555) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 506) for path existence...
2020-06-28 01:14:13 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 457) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 408) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 359) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 310) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 261) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 212) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 163) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 114) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 65) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 16) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (239, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (190, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (141, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (92, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (43, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 12) for path existence...
2020-06-28 01:14:14 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 12) for path existence...
2020-06-28 01:14:45 [DEBUG]: tt.jointeuclid2ni.probleminstance.EarliestArrivalProblem - The environment consist of boundary and 0 obstacles, with total 12 corners.
2020-06-28 01:14:45 [INFO ]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - Constructing the grid-based roadmap. There is 25 points at deflated boundary, 0 points at inflated obstacles and 178 custom points. 
2020-06-28 01:14:45 [INFO ]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - Done... |V|=848 |E|=3876
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - There is 161docks maintaining connectivity
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 12) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 71) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 130) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 189) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 248) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 307) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 366) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 425) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 484) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 543) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 602) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 661) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 720) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 779) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 838) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 897) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 956) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1015) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1074) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1133) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1192) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1251) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1310) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1369) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1428) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (71, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (130, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (189, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (248, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1438) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1379) for path existence...
2020-06-28 01:14:49 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1320) for path existence...
